product_id,product_name,product_description,category,subcategory,brand,price,rating_avg,review_count,stock_quantity,date_added
71445abc-2f0d-4ac2-8097-acb7a3823bc9,Wilson Cycling - Navy,"Engineered for peak performance in any condition.

Key Features:
  - Lightweight design for effortless portability.
  - Adjustable features for customized fit.
  - Reinforced stress points for long-lasting durability.
  - Ergonomic design reduces fatigue during extended use.
  - Compression-molded for compact storage.

Trusted by athletes and adventurers worldwide.",Sports,Cycling,Wilson,37.73,4.5,2,1,2023-06-19
06ce14c8-3158-44a4-b6a0-04674d81a0d2,Introduction to Deep Learning,"Discover the story behind Introduction to Deep Learning.

Key Features:
  - Comprehensive coverage of the subject matter.
  - Meticulously researched and expertly presented.
  - Thought-provoking themes that resonate long after reading.
  - Includes exclusive content and illustrations.
  - Award-winning author delivers another masterpiece.

Perfect for bedtime reading, book clubs, or casual enjoyment, this book offers something for everyone.

Additional Details:
  - Available in multiple formats for your reading preference.
  - A substantial read that delivers incredible value.
  - Critically acclaimed with outstanding reader reviews.

Already a bestseller in multiple countries.",Books,Educational,HarperCollins,11.76,,0,1,2023-02-16
22389617-c344-498d-afbf-4ce3e3535610,Apple X15 Smartphone,"The Apple X15 Smartphone delivers exceptional performance for all your needs.

Key Features:
  - Advanced connectivity options including WiFi 6 and Bluetooth 5.3.
  - Intuitive user interface with customizable settings.
  - Premium build quality with aerospace-grade materials.
  - Enhanced security features including biometric authentication.
  - Sleek, lightweight design for maximum portability.
  - Features a high-resolution display with vivid color accuracy.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Additional Details:
  - Slim and portable form factor for easy travel.
  - Long battery life for all-day usage.
  - Connectivity: USB-C, HDMI, WiFi 6, Bluetooth.

Backed by a comprehensive warranty and dedicated support.",Smartphones,Smartphones,Apple,457.39,,0,1,2023-11-05
6efab8db-f0a2-4fd3-acb9-d94610c2b4a1,Spalding Z15 Cycling,"Engineered for peak performance in any condition.

Key Features:
  - Reflective elements enhance visibility in low light.
  - Ergonomic design reduces fatigue during extended use.
  - Lightweight design for effortless portability.
  - Weather-resistant materials keep you protected.
  - Durable construction withstands the toughest conditions.

Additional Details:
  - Weight: {weight_g}g
  - Material: {material_quality} {material}
  - Capacity: {capacity_l}L

Trusted by athletes and adventurers worldwide.",Sports,Cycling,Spalding,49.61,5.0,1,1248,2025-05-16
d4c82aec-8ebb-48be-8b4b-dc5dc3b7aef7,Pioneer and the sophisticated pioneer,"Dive into the captivating world of Pioneer and the sophisticated pioneer.

Key Features:
  - Includes exclusive content and illustrations.
  - Includes discussion questions for book clubs.
  - Gripping narrative that keeps you turning pages.
  - Award-winning author delivers another masterpiece.
  - Meticulously researched and expertly presented.
  - Perfect for book clubs and group discussions.

Whether you are a longtime fan or new to the genre, this book will captivate you from the first page.

Additional Details:
  - Expertly crafted with attention to every detail.
  - Available in multiple formats for your reading preference.
  - Critically acclaimed with outstanding reader reviews.

A must-read for fans of the genre.",Books,Children's Books,HarperCollins,9.13,,0,1,2025-03-11
1f3a8b13-45cf-4478-90ae-b1cbea318130,Samsung Galaxy Book6,"Engineered for excellence, the Samsung Galaxy Book6 sets a new standard.

Key Features:
  - Sleek, lightweight design for maximum portability.
  - Intuitive user interface with customizable settings.
  - Supports high-resolution audio for immersive sound.
  - Features a high-resolution display with vivid color accuracy.
  - Premium build quality with aerospace-grade materials.

Whether you are working from home, gaming, or streaming, this device is built to handle it all with ease.

Additional Details:
  - High-resolution display with vivid color reproduction.
  - Long battery life for all-day usage.
  - Slim and portable form factor for easy travel.

Backed by a comprehensive warranty and dedicated support.",Smartphones,Smartphones,Samsung,230.65,,0,12,2023-02-17
f6458376-2889-4221-b909-bdaf4cccc779,Wilson 55L Camping Gear,"Engineered for peak performance in any condition.

Key Features:
  - Lightweight design for effortless portability.
  - Durable construction withstands the toughest conditions.
  - Ergonomic design reduces fatigue during extended use.
  - Weather-resistant materials keep you protected.

Ready for wherever your journey takes you.",Sports,Camping Gear,Wilson,116.8,4.0,1,1,2026-02-11
7ae6b7f0-2a30-496f-81dc-2229f4652ad5,Wilson 77L Camping Gear,"The Wilson 77L Camping Gear is built for those who push their limits.

Key Features:
  - Reinforced stress points for long-lasting durability.
  - Adjustable features for customized fit.
  - Compression-molded for compact storage.
  - Durable construction withstands the toughest conditions.
  - Quick-setup system saves time and hassle.
  - Lightweight design for effortless portability.

Ready for wherever your journey takes you.",Sports,Camping Gear,Wilson,42.09,4.0,2,1,2026-04-28
356b91c4-74fa-4ed5-8a5c-6a6f740905ce,Apple Classic Over-Ear Headphones,"Experience cutting-edge technology with the Apple Classic Over-Ear Headphones.

Key Features:
  - Sleek, lightweight design for maximum portability.
  - Long-lasting battery designed for all-day productivity.
  - Intuitive user interface with customizable settings.
  - Premium build quality with aerospace-grade materials.
  - Equipped with the latest processor for seamless multitasking.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Additional Details:
  - Slim and portable form factor for easy travel.
  - Connectivity: USB-C, HDMI, WiFi 6, Bluetooth.

Elevate your daily experience with this premium device.",Smartphones,Headphones,Apple,157.6,5.0,3,2,2023-01-24
4a1e79d7-75c8-4163-9612-e9e5e0decf49,Calvin Klein Pixel17 Running Shoes,"Elevate your wardrobe with the Calvin Klein Pixel17 Running Shoes.

Key Features:
  - Eco-friendly materials sourced sustainably.
  - Four-way stretch fabric for unrestricted movement.
  - Premium {material} fabric for lasting comfort.
  - Tailored fit that flatters every body type.
  - Reinforced stitching for enhanced durability.
  - Breathable material keeps you comfortable all day.

From casual outings to formal occasions, this piece transitions effortlessly across settings.

Additional Details:
  - Premium fabric construction for lasting wear.
  - Available in multiple sizes for the perfect fit.
  - Designed for comfort with a tailored silhouette.

Join thousands of satisfied customers worldwide.",Shoes,Footwear,Calvin Klein,35.55,3.0,1,1,2025-07-10
